LINE_ID,PrevTemp,GenNum,Prev_PAL_FEMALE,PAL_FEMALE,Prev_PAN_FEMALE,PAN_FEMALE,Prev_PAL_FEMALE_comp,Prev_PAN_FEMALE_comp,Temp20
C_S_R45,24.4,3,35,1,6,1,34,5,4.399999999999999
C_S_R45,24.8,4,1,0,1,0,0,0,4.800000000000001
C_S_R46,24,2,3,33,0,9,2,0,4
C_S_R46,24.4,3,33,28,9,0,32,8,4.399999999999999
C_S_R46,24.8,4,28,0,0,0,27,0,4.800000000000001
C_S_R47,24,2,3,43,0,8,2,0,4
C_S_R47,24.4,3,43,20,8,0,42,7,4.399999999999999
C_S_R47,24.8,4,20,9,0,0,19,0,4.800000000000001
C_S_R47,25.2,5,9,5,4,2,8,3,5.199999999999999
C_S_R47,25.6,6,5,22,2,0,4,1,5.600000000000001
C_S_R47,26,7,22,0,0,0,21,0,6
C_S_R48,24,2,3,36,0,7,2,0,4
C_S_R48,24.4,3,36,15,7,0,35,6,4.399999999999999
C_S_R48,24.8,4,15,0,0,0,14,0,4.800000000000001
C_S_R49,24,2,3,35,0,10,2,0,4
C_S_R49,24.4,3,35,2,10,0,34,9,4.399999999999999
C_S_R49,24.8,4,2,12,0,0,1,0,4.800000000000001
C_S_R49,25.2,5,12,16,4,0,11,3,5.199999999999999
C_S_R49,25.6,6,16,0,0,0,15,0,5.600000000000001
C_S_R5,24,2,3,27,0,8,2,0,4
C_S_R5,24.4,3,27,28,8,0,26,7,4.399999999999999
C_S_R5,24.8,4,28,1,0,0,27,0,4.800000000000001
C_S_R5,25.2,5,1,9,4,7,0,3,5.199999999999999
C_S_R5,25.6,6,9,0,7,5,8,6,5.600000000000001
C_S_R50,24,2,3,7,0,5,2,0,4
C_S_R50,24.4,3,7,0,5,0,6,4,4.399999999999999
C_S_R51,24,2,3,28,0,11,2,0,4
C_S_R51,24.4,3,28,20,11,1,27,10,4.399999999999999
C_S_R51,24.8,4,20,14,1,0,19,0,4.800000000000001
C_S_R51,25.2,5,14,31,4,2,13,3,5.199999999999999
C_S_R51,25.6,6,31,15,2,1,30,1,5.600000000000001
C_S_R51,26,7,15,11,1,0,14,0,6
C_S_R51,26.4,8,11,3,0,0,10,0,6.399999999999999
C_S_R51,26.8,9,3,2,4,4,2,3,6.800000000000001
